InvoiceNo,StockCode,ProductsCategory,Quantity,InvoiceDate,UnitPrice,CustomerID,Cities,Tax 5%,Total,Gender,Payment
540086,22151,Food Grains,72,04-01-2021 11:30,0.42,16255,Mumbai,1.7405,36.5505,Female,Credit card
540087,21535,Food Grains,2,04-01-2021 11:30,2.55,16255,Mumbai,14.796,310.716,Female,Ewallet
540088,21531,Snacks,2,04-01-2021 11:30,2.55,16255,Mumbai,2.148,45.108,Male,Ewallet
540089,22667,Beverages,5,04-01-2021 11:30,2.95,16255,Mumbai,6.924,145.404,Female,Ewallet
540090,21034,Fruits & Veggies,1,04-01-2021 11:30,0.95,16255,Mumbai,4.91,103.11,Female,Credit card
540091,22776,Food Grains,1,04-01-2021 11:30,9.95,16255,Mumbai,6.483,136.143,Female,Credit card
540092,79321,Beverages,5,04-01-2021 11:30,4.95,16255,Mumbai,31.78,667.38,Male,Cash
540093,85064,Food Grains,2,04-01-2021 11:30,5.45,16255,Mumbai,7.288,153.048,Male,Cash
540094,85066,Beverages,1,04-01-2021 11:30,12.75,16255,Mumbai,10.065,211.365,Female,Cash
540095,22197,Oil & Masala,19,04-01-2021 11:30,0.85,16255,Mumbai,31.5855,663.2955,Female,Cash
540096,22862,Food Grains,2,04-01-2021 11:30,4.25,16255,Mumbai,19.264,404.544,Male,Ewallet
540097,22558,"Eggs, Meat & Fish",4,04-01-2021 11:30,1.49,16255,Mumbai,24.315,510.615,Male,Cash
540098,20914,Bakery,5,04-01-2021 11:30,2.95,16255,Mumbai,25.683,539.343,Female,Cash
540099,22763,Bakery,1,04-01-2021 11:30,9.95,16255,Mumbai,23.67,497.07,Female,Cash
540100,22507,Beverages,2,04-01-2021 11:30,4.95,16255,Mumbai,21.8425,458.6925,Female,Cash
540101,22505,Oil & Masala,2,04-01-2021 11:30,4.95,16255,Mumbai,5.408,113.568,Female,Ewallet
540102,22170,"Eggs, Meat & Fish",4,04-01-2021 11:30,6.75,16255,Mumbai,12.438,261.198,Male,Ewallet
540112,22169,Bakery,1,04-01-2021 11:30,8.5,16255,Mumbai,31.311,657.531,Male,Credit card
540104,21901,Snacks,2,04-01-2021 11:30,0.65,16255,Mumbai,48.75,1023.75,Male,Ewallet
540105,21900,Snacks,5,04-01-2021 11:30,0.65,16255,Mumbai,24.164,507.444,Female,Ewallet
540106,21899,Fruits & Veggies,6,04-01-2021 11:30,0.65,16255,Mumbai,4.848,101.808,Male,Credit card
540107,84378,Beverages,2,04-01-2021 11:30,1.25,16255,Mumbai,9.885,207.585,Female,Credit card
540108,22556,Fruits & Veggies,2,04-01-2021 11:30,1.65,16255,Mumbai,36.2115,760.4415,Male,Cash
540109,22555,Oil & Masala,2,04-01-2021 11:30,1.65,16255,Mumbai,39.7755,835.2855,Female,Cash
540110,84991,Oil & Masala,4,04-01-2021 11:30,0.55,16255,Mumbai,25.1195,527.5095,Male,Cash
540111,22417,Oil & Masala,4,04-01-2021 11:30,0.55,16255,Mumbai,8.6,180.6,Female,Ewallet
540112,22795,Oil & Masala,1,04-01-2021 11:30,6.75,16255,Mumbai,3.449,72.429,Male,Cash
540113,21654,Bakery,1,04-01-2021 11:34,1.45,14606,Mumbai,6.248,131.208,Male,Ewallet
540114,84499,Bakery,6,04-01-2021 11:34,0.85,14606,Mumbai,3.855,80.955,Male,Ewallet
540115,21661,Oil & Masala,1,04-01-2021 11:34,5.95,14606,Mumbai,24.186,507.906,Male,Cash
540116,21703,Beverages,3,04-01-2021 11:34,0.42,14606,Mumbai,15.106,317.226,Female,Ewallet
540117,22274,"Eggs, Meat & Fish",1,04-01-2021 11:34,2.95,14606,Mumbai,34.9335,733.6035,Female,Ewallet
540118,22909,Beverages,1,04-01-2021 11:34,0.85,14606,Mumbai,6.2325,130.8825,Female,Ewallet
540119,85176,Fruits & Veggies,1,04-01-2021 11:34,0.85,14606,Mumbai,39.48,829.08,Male,Ewallet
540120,21564,Food Grains,1,04-01-2021 11:34,2.95,14606,Mumbai,8.92,187.32,Female,Credit card
540121,85049B,"Eggs, Meat & Fish",1,04-01-2021 11:34,1.25,14606,Mumbai,25.011,525.231,Female,Ewallet
540122,85194L,Beverages,1,04-01-2021 11:34,0.85,14606,Mumbai,1.791,37.611,Male,Credit card
540123,85194L,Beverages,1,04-01-2021 11:34,0.85,14606,Mumbai,6.807,142.947,Male,Credit card
540124,22153,Fruits & Veggies,1,04-01-2021 11:34,0.42,14606,Mumbai,5.244,110.124,Female,Credit card
540125,21947,Fruits & Veggies,2,04-01-2021 11:34,1.25,14606,Mumbai,8.946,187.866,Female,Cash
540126,22261,Oil & Masala,2,04-01-2021 11:34,0.85,14606,Mumbai,40.7835,856.4535,Female,Cash
540127,22262,Beverages,6,04-01-2021 11:34,0.85,14606,Mumbai,6.618,138.978,Male,Credit card
540128,84849B,"Eggs, Meat & Fish",2,04-01-2021 11:34,1.69,14606,Mumbai,12.8695,270.2595,Female,Cash
540129,22494,Oil & Masala,2,04-01-2021 11:34,1.25,14606,Mumbai,4.668,98.028,Male,Ewallet
540130,15056BL,Snacks,3,04-01-2021 11:34,5.95,14606,Mumbai,11.4,239.4,Female,Cash
540131,21524,Oil & Masala,1,04-01-2021 11:34,7.95,14606,Mumbai,8.3355,175.0455,Male,Credit card
540132,48173C,Beverages,1,04-01-2021 11:34,7.95,14606,Mumbai,34.87,732.27,Male,Credit card
540133,22414,Fruits & Veggies,1,04-01-2021 11:34,7.95,14606,Mumbai,19.452,408.492,Male,Ewallet
540134,22241,Oil & Masala,12,04-01-2021 11:34,1.25,14606,Mumbai,18.263,383.523,Female,Cash
540135,22608,"Eggs, Meat & Fish",36,04-01-2021 11:34,0.21,14606,Mumbai,4.464,93.744,Female,Credit card
540136,22540,Oil & Masala,4,04-01-2021 11:34,0.42,14606,Mumbai,8.4,176.4,Male,Ewallet
540137,84832,Oil & Masala,1,04-01-2021 11:34,0.85,14606,Mumbai,0.985,20.685,Male,Ewallet
540138,22499,Bakery,1,04-01-2021 11:34,5.95,14606,Mumbai,26.558,557.718,Male,Ewallet
540139,20971,Beverages,1,04-01-2021 11:34,1.25,14606,Mumbai,2.686,56.406,Male,Ewallet
540140,20972,Beverages,1,04-01-2021 11:34,1.25,14606,Mumbai,40.975,860.475,Male,Credit card
540141,85129C,Fruits & Veggies,1,04-01-2021 11:34,1.25,14606,Mumbai,28.42,596.82,Female,Credit card
540142,22179,Oil & Masala,1,04-01-2021 11:34,6.75,14606,Mumbai,29.38,616.98,Male,Ewallet
540143,21889,Fruits & Veggies,1,04-01-2021 11:34,1.25,14606,Mumbai,36.624,769.104,Male,Ewallet
540144,21628,"Eggs, Meat & Fish",1,04-01-2021 11:34,14.95,14606,Mumbai,42.282,887.922,Male,Cash
540145,21627,Fruits & Veggies,1,04-01-2021 11:34,14.95,14606,Mumbai,19.4635,408.7335,Male,Cash
540146,21630,Snacks,1,04-01-2021 11:34,8.95,14606,Mumbai,4.2415,89.0715,Male,Ewallet
540147,22381,Snacks,3,04-01-2021 11:34,2.1,14606,Mumbai,7.163,150.423,Female,Ewallet
540148,22379,Snacks,2,04-01-2021 11:34,2.1,14606,Mumbai,3.769,79.149,Male,Ewallet
540149,21657,Food Grains,1,04-01-2021 11:34,6.95,14606,Mumbai,12.668,266.028,Female,Credit card
540150,20772,Snacks,1,04-01-2021 11:34,2.55,14606,Mumbai,1.921,40.341,Female,Cash
540151,20996,Food Grains,9,04-01-2021 11:34,0.42,14606,Mumbai,32.615,684.915,Male,Credit card
540152,22385,Beverages,2,04-01-2021 11:34,1.95,14606,Mumbai,2.6325,55.2825,Female,Credit card
540153,22380,"Eggs, Meat & Fish",1,04-01-2021 11:34,2.1,14606,Mumbai,5.5305,116.1405,Female,Credit card
540154,22276,Food Grains,1,04-01-2021 11:34,2.55,14606,Mumbai,28.4305,597.0405,Male,Cash
540155,22166,Oil & Masala,1,04-01-2021 11:34,7.95,14606,Mumbai,4.464,93.744,Female,Ewallet
540156,85123A,Beverages,6,04-01-2021 11:34,2.95,14606,Mumbai,6.82,143.22,Female,Credit card
540157,21781,Bakery,1,04-01-2021 11:34,14.95,14606,Mumbai,8.71,182.91,Female,Ewallet
540158,22426,Beverages,1,04-01-2021 11:34,3.75,14606,Mumbai,18.32,384.72,Male,Ewallet
540159,21470,Food Grains,1,04-01-2021 11:34,3.75,14606,Mumbai,12.7305,267.3405,Female,Ewallet
540160,22483,Beverages,1,04-01-2021 11:34,2.95,14606,Mumbai,38.916,817.236,Female,Credit card
540161,84352,Food Grains,1,04-01-2021 11:34,16.95,14606,Mumbai,14.296,300.216,Female,Ewallet
540162,84509A,Fruits & Veggies,2,04-01-2021 11:34,3.75,14606,Mumbai,28.956,608.076,Female,Cash
540163,22423,Oil & Masala,1,04-01-2021 11:34,12.75,14606,Mumbai,9.425,197.925,Male,Ewallet
540164,85034A,Snacks,1,04-01-2021 11:34,4.25,14606,Mumbai,11.078,232.638,Female,Ewallet
540165,85114C,Food Grains,4,04-01-2021 11:34,1.65,14606,Mumbai,38.6,810.6,Female,Credit card
540166,21210,Oil & Masala,1,04-01-2021 11:34,1.45,14606,Mumbai,36.065,757.365,Male,Credit card
540167,21035,"Eggs, Meat & Fish",1,04-01-2021 11:34,2.95,14606,Mumbai,25.552,536.592,Female,Ewallet
540168,22480,Fruits & Veggies,4,04-01-2021 11:34,1.25,14606,Mumbai,2.6725,56.1225,Female,Ewallet
540169,22327,"Eggs, Meat & Fish",2,04-01-2021 11:34,2.95,14606,Mumbai,11.1,233.1,Male,Credit card
540170,22476,Oil & Masala,6,04-01-2021 11:34,4.95,14606,Mumbai,38.184,801.864,Female,Ewallet
540171,22985,Fruits & Veggies,25,04-01-2021 11:40,0.42,13319,Mumbai,11.409,239.589,Female,Credit card
540172,22704,Beverages,25,04-01-2021 11:40,0.42,13319,Mumbai,4.107,86.247,Male,Cash
540173,22711,Food Grains,25,04-01-2021 11:40,0.42,13319,Mumbai,19.128,401.688,Female,Cash
540174,22720,Fruits & Veggies,6,04-01-2021 11:40,4.95,13319,Mumbai,3.429,72.009,Female,Cash
540175,22722,Snacks,8,04-01-2021 11:40,3.95,13319,Mumbai,19.108,401.268,Female,Ewallet
540176,22930,Beverages,6,04-01-2021 11:40,2.55,13319,Mumbai,30.0545,631.1445,Female,Credit card
540177,22960,Beverages,6,04-01-2021 11:40,4.25,13319,Mumbai,23.7965,499.7265,Female,Ewallet
540178,22961,"Eggs, Meat & Fish",12,04-01-2021 11:40,1.45,13319,Mumbai,2.621,55.041,Female,Credit card
540179,22969,Oil & Masala,24,04-01-2021 11:40,1.45,13319,Mumbai,6.565,137.865,Male,Cash
540180,21212,Oil & Masala,24,04-01-2021 11:40,0.55,13319,Mumbai,7.215,151.515,Female,Credit card
540181,21481,"Eggs, Meat & Fish",6,04-01-2021 11:40,2.95,13319,Mumbai,22.8585,480.0285,Male,Credit card
540182,21877,"Eggs, Meat & Fish",12,04-01-2021 11:40,1.25,13319,Mumbai,4.669,98.049,Male,Cash
540183,21871,Snacks,12,04-01-2021 11:40,1.25,13319,Mumbai,6.3125,132.5625,Male,Cash
540184,22271,Snacks,6,04-01-2021 11:40,2.95,13319,Mumbai,39.5415,830.3715,Male,Ewallet
540185,22178,Food Grains,12,04-01-2021 11:40,1.25,13319,Mumbai,8.72,183.12,Male,Cash
540186,22726,Beverages,4,04-01-2021 11:40,3.75,13319,Mumbai,18.952,397.992,Female,Ewallet
540187,22727,Bakery,4,04-01-2021 11:40,3.75,13319,Mumbai,1.531,32.151,Female,Credit card
540188,79321,Fruits & Veggies,4,04-01-2021 11:40,4.95,13319,Mumbai,17.604,369.684,Female,Cash
540189,85038,Beverages,6,04-01-2021 11:40,2.1,13319,Mumbai,2.54,53.34,Female,Ewallet
540190,20725,"Eggs, Meat & Fish",10,04-01-2021 11:40,1.65,13319,Mumbai,26.103,548.163,Male,Credit card
540191,20726,Fruits & Veggies,10,04-01-2021 11:40,1.65,13319,Mumbai,28.756,603.876,Male,Ewallet
540192,21527,Food Grains,4,04-01-2021 11:40,7.95,13319,Mumbai,2.7475,57.6975,Female,Credit card
540193,21539,Oil & Masala,3,04-01-2021 11:40,4.95,13319,Mumbai,9.0705,190.4805,Male,Credit card
540194,22072,Snacks,4,04-01-2021 11:40,3.75,13319,Mumbai,20.6185,432.9885,Male,Ewallet
540195,84879,Oil & Masala,16,04-01-2021 11:40,1.69,13319,Mumbai,2.3205,48.7305,Male,Credit card
540196,22914,"Eggs, Meat & Fish",3,04-01-2021 11:40,4.95,13319,Mumbai,13.71,287.91,Male,Credit card
540197,22913,Bakery,3,04-01-2021 11:40,4.95,13319,Mumbai,48.685,1022.385,Female,Credit card
540198,20914,Snacks,6,04-01-2021 11:40,2.95,13319,Mumbai,32.41,680.61,Male,Credit card
540199,22862,Oil & Masala,8,04-01-2021 11:42,4.25,16282,Mumbai,4.661,97.881,Female,Credit card
540200,21527,Snacks,1,04-01-2021 11:42,7.95,16282,Mumbai,2.718,57.078,Male,Ewallet
540201,21533,Bakery,1,04-01-2021 11:42,4.95,16282,Mumbai,3.0435,63.9135,Female,Cash
540202,20914,Fruits & Veggies,2,04-01-2021 11:42,2.95,16282,Mumbai,12.245,257.145,Female,Cash
540212,84945,Food Grains,36,04-01-2021 11:42,0.85,16282,Mumbai,4.639,97.419,Male,Credit card
540204,85123A,Oil & Masala,10,04-01-2021 11:42,2.95,16282,Mumbai,21.6725,455.1225,Male,Ewallet
540205,21844,Beverages,6,04-01-2021 11:42,2.95,16282,Mumbai,6.903,144.963,Male,Ewallet
540206,22851,Beverages,6,04-01-2021 11:42,0.85,16282,Mumbai,12.08,253.68,Female,Ewallet
540207,21080,"Eggs, Meat & Fish",8,04-01-2021 11:42,0.85,16282,Mumbai,23.5865,495.3165,Male,Ewallet
540208,21326,"Eggs, Meat & Fish",24,04-01-2021 11:42,0.65,16282,Mumbai,22.032,462.672,Female,Cash
540209,22792,Bakery,12,04-01-2021 11:42,0.85,16282,Mumbai,34.0155,714.3255,Female,Cash
540210,22222,Oil & Masala,12,04-01-2021 11:48,1.95,13963,Mumbai,15.494,325.374,Female,Cash
540211,22342,Snacks,24,04-01-2021 11:48,0.85,13963,Mumbai,9.318,195.678,Female,Credit card
540212,22343,Beverages,24,04-01-2021 11:48,0.21,13963,Mumbai,10.046,210.966,Female,Cash
540213,22473,Oil & Masala,8,04-01-2021 11:48,1.95,13963,Mumbai,0.8875,18.6375,Female,Cash
540214,22511,Beverages,8,04-01-2021 11:48,1.25,13963,Mumbai,31.09,652.89,Female,Ewallet
540215,22834,Snacks,24,04-01-2021 11:48,0.85,13963,Mumbai,4.3,90.3,Male,Ewallet
540216,35646,Fruits & Veggies,24,04-01-2021 11:48,1.25,13963,Mumbai,20.13,422.73,Female,Credit card
540217,85184C,Beverages,24,04-01-2021 11:48,1.25,13963,Mumbai,16.2425,341.0925,Female,Credit card
540218,85212,Beverages,72,04-01-2021 11:48,0.21,13963,Mumbai,4.7575,99.9075,Male,Cash
540219,48187,Bakery,2,04-01-2021 11:48,7.95,13963,Mumbai,19.448,408.408,Female,Cash
540220,82613D,"Eggs, Meat & Fish",20,04-01-2021 11:48,0.42,13963,Mumbai,21.284,446.964,Female,Ewallet
540221,82613C,Snacks,20,04-01-2021 11:48,0.42,13963,Mumbai,15.904,333.984,Female,Cash
540222,20702,Bakery,3,04-01-2021 11:48,4.25,13963,Mumbai,13.552,284.592,Male,Ewallet
540223,90112,"Eggs, Meat & Fish",2,04-01-2021 12:07,0,,Mumbai,19.232,403.872,Male,Credit card
540224,84992,Beverages,24,04-01-2021 12:18,0.55,12957,Mumbai,11.79,247.59,Male,Credit card
540225,22951,Snacks,24,04-01-2021 12:18,0.55,12957,Mumbai,10.578,222.138,Male,Ewallet
540226,22302,Snacks,6,04-01-2021 12:18,2.55,12957,Mumbai,4.768,100.128,Female,Credit card
540227,22303,"Eggs, Meat & Fish",6,04-01-2021 12:18,2.55,12957,Mumbai,0.5085,10.6785,Male,Cash
540228,21985,Bakery,24,04-01-2021 12:18,0.29,12957,Mumbai,10.3065,216.4365,Female,Cash
540229,85049C,Oil & Masala,12,04-01-2021 12:18,1.25,12957,Mumbai,21.028,441.588,Female,Credit card
540230,22427,Snacks,3,04-01-2021 12:18,5.95,12957,Mumbai,4.402,92.442,Female,Credit card
540231,22487,Food Grains,1,04-01-2021 12:18,9.95,12957,Mumbai,32.4495,681.4395,Female,Credit card
540232,21868,Beverages,12,04-01-2021 12:18,1.25,12957,Mumbai,6.192,130.032,Male,Credit card
540233,22822,Snacks,2,04-01-2021 12:18,5.95,12957,Mumbai,32.475,681.975,Male,Cash
540234,84949,Oil & Masala,6,04-01-2021 12:18,1.65,12957,Mumbai,37.11,779.31,Female,Credit card
540235,21407,Beverages,3,04-01-2021 12:18,4.25,12957,Mumbai,4.224,88.704,Male,Cash
540236,21972,Snacks,12,04-01-2021 12:18,1.45,12957,Mumbai,12.514,262.794,Male,Cash
540237,20983,Fruits & Veggies,12,04-01-2021 12:18,0.85,12957,Mumbai,4.74,99.54,Female,Cash
540238,22315,Bakery,12,04-01-2021 12:18,1.25,12957,Mumbai,4.565,95.865,Male,Ewallet
